id,title_romaji,title_english,average_score,genres,start_year,status,chapters,volumes,staff_names
100805,Here U Are,Here U Are,85,"Drama, Romance, Slice of Life",2017,FINISHED,157.0,,DJUN
86551,Made in Abyss,Made in Abyss,85,"Adventure, Drama, Fantasy, Horror, Sci-Fi",2012,RELEASING,,,"Akihito Tsukushi, Beni Axia Conrad, Karen Hayashida, Vincent Zouzoulkovsky, James Gaubatz, Damián Gaggero, Miro, Đan Ngô"
85849,ReLife,ReLIFE,85,"Comedy, Drama, Psychological, Romance, Slice of Life",2013,FINISHED,238.0,15.0,"Sou Yayoi, Sakura Ilgert"
126986,Jibi Eopseo,,85,"Comedy, Drama, Slice of Life, Supernatural",2018,FINISHED,269.0,,Wanan
123125,Bungou Stray Dogs BEAST,Bungo Stray Dogs: BEAST,85,"Action, Drama, Mystery, Supernatural",2019,FINISHED,4.0,1.0,"Kafka Asagiri, Harukawa35, Matthew Rutsohn"
105388,Yagate Kimi ni Naru Saeki Sayaka ni Tsuite,Bloom Into You: Regarding Saeki Sayaka,85,"Drama, Romance",2018,FINISHED,9.0,3.0,"Hitoma Iruma, Nio Nakatani, Nio Nakatani, Jan Cash, Vincent Castaneda, Yang He"
86099,Wind Breaker,Wind Breaker,85,"Action, Comedy, Drama, Romance, Sports",2013,CANCELLED,554.0,,Yong-Seok Jo
41514,Otoyomegatari,A Bride's Story,85,"Drama, Romance, Slice of Life",2008,RELEASING,,,"Kaoru Mori, William Flanagan, Yohan Leclerc, Abigail Blackman, Roberta Tiberi, Massimo Soumaré, Sandro Cecchi"
30904,Kozure Ookami,Lone Wolf and Cub,85,"Action, Drama",1970,FINISHED,142.0,28.0,"Kazuo Koike, Goseki Kojima, Drik Sada, Beatriz Poszar, Beth Kodama, Geni Bigas, Yayoi Kagoshima, Gustavo Figueiredo, Joel Dias, Cezary Komorowicz, Paweł Olejniczak, Bruno Zago, Ricardo Santana, Danilo de Assis"
121565,Cheongchun Blossom,Seasons of Blossom,85,"Comedy, Drama, Romance",2020,FINISHED,130.0,12.0,"NEMONE, HONGDUCK"
87383,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 1-bu - Heishi no Musume,Ascendance of a Bookworm: Part 1,85,"Fantasy, Slice of Life",2015,FINISHED,85.0,3.0,"You Shiina, Miya Kazuki, Quof, Meiru"
132288,Hirayasumi,Hirayasumi,85,"Comedy, Drama, Slice of Life",2021,RELEASING,,,"Keigo Shinzo, Jan Cash, Sylvain Chollet"
91170,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Rascal Does Not Dream of Bunny Girl Senpai,85,"Comedy, Psychological, Romance, Supernatural",2014,FINISHED,6.0,1.0,"Hajime Kamoshida, Keiji Mizoguchi, Andrew Cunningham, cherixiu"
143722,Otorimonogatari,Otorimonogatari: Decoy Tale,84,"Comedy, Drama, Mystery, Psychological, Supernatural",2011,FINISHED,24.0,1.0,"NISIOISIN, VOFAN, Ko Ransom"
105398,Na Honjaman Level Up,Solo Leveling,84,"Action, Adventure, Fantasy",2018,FINISHED,201.0,15.0,"Seong-Rak Jang, So-Ryeong Gi, Chu-Gong, Hyeon-Gun, Abigail Blackman, Adrianna Jarzębowska"
51498,Umineko no Naku Koro ni Chiru Episode 5: End of the Golden Witch,Umineko When They Cry Episode 5: End of the Golden Witch,84,"Drama, Fantasy, Horror, Mystery",2010,FINISHED,27.0,6.0,"Ryukishi07, Akitaka, Stephen Paul, Abigail Blackman"
30756,BANANA FISH,Banana Fish,84,"Action, Adventure, Drama, Psychological, Thriller",1985,FINISHED,110.0,19.0,"Akimi Yoshida, Marc Bernabé, Rachel Thorn, Pookie Rolf, Carl Horn, Akemi Wegmüller, Brian Bitler, Avril DaStrada, Zachary Braverman, Peter Averill, Mary Kelleher, Cato, Laurence Belingard, Anna Piechowiak"
110683,"Shokei Shoujo no Virgin Road: Soshite, Kanojo wa Yomigaeru",The Executioner and Her Way of Life,84,"Action, Adventure, Drama, Fantasy",2019,FINISHED,,11.0,"Nilitsu, Mato Satou, Jenny McKeon"
85134,Utsuro no Hako to Zero no Maria,The Empty Box and Zeroth Maria,84,"Action, Mystery, Psychological, Romance, Supernatural, Thriller",2009,FINISHED,254.0,7.0,"Eiji Mikage, Tetsuo, Luke Baker, Thien Thanh, Thuy Tram, Maarubi, Katarzyna Podlipska"
33031,Pandora Hearts,Pandora Hearts,84,"Action, Adventure, Drama, Fantasy, Mystery, Psychological, Supernatural",2006,FINISHED,107.0,24.0,"Jun Mochizuki, Tomo Kimura, Antje Bockel, Ruyuha Kyouka"
30102,Fruits Basket,Fruits Basket,84,"Comedy, Drama, Psychological, Romance, Supernatural",1998,FINISHED,137.0,23.0,"Natsuki Takaya, Alethea Nibley, Sheldon Drzka, Alexis Kirsch, James Lee, Deron Bennett, Yoohae Yang, Bowen Park, Dongjin Oh, Athena Nibley, Sandra Nogués Graell"
132144,Hwasangwihwan,Return of the Blossoming Blade,84,"Action, Adventure, Fantasy",2021,RELEASING,,,"LICO, Biga"
99559,Nogi Wakaba wa Yuusha de Aru,,84,"Drama, Fantasy, Mahou Shoujo, Psychological",2015,FINISHED,22.0,2.0,"Takahiro, BUNBUN, Aoi Akashiro, D.K, JWWorks"
85976,Overlord,Overlord,84,"Action, Adventure, Comedy, Fantasy, Horror, Supernatural",2012,RELEASING,,18.0,"Kugane Maruyama, so-bin, Andrew Cunningham, Emily Balistrieri, Edward Kondo, Yoan Giraud, Anna Piechowiak, Lucas dos Santos Cabral"
85850,19 Tian,,84,"Comedy, Romance, Slice of Life",2014,RELEASING,,,Old Xian
55515,JoJo no Kimyou na Bouken: JoJolion,,84,"Action, Adventure, Drama, Mystery, Supernatural",2011,FINISHED,110.0,27.0,"Hirohiko Araki, Satoshi Yamauchi"
94490,The Fable,The Fable,84,"Action, Comedy, Drama, Romance",2014,FINISHED,240.0,22.0,"Katsuhisa Minami, Thalia Sutton, Arbash Mughal, Adam Hirsch"
35744,Ping Pong,Ping Pong,84,"Drama, Psychological, Sports",1996,FINISHED,55.0,5.0,"Taiyou Matsumoto, Michael Arias, Deron Bennett, Eric Montesinos, Julie Naruse, Yoshiaki Naruse, Juan Scassa"
30698,Shin Seiki Evangelion,Neon Genesis Evangelion,84,"Action, Drama, Mecha, Mystery, Psychological, Sci-Fi",1994,FINISHED,97.0,14.0,"Yoshiyuki Sadamoto, Hideaki Anno, David Ury, John Werry, William Flanagan, Lillian Olsen, Evan Galloway, Mari Morimoto, Drik Sada, Erika Huang, Antje Bockel, Miriam Tomi, Renata Leitão, Bakayaro!, Rafał Rzepka, Simon Hammar, Paolo Buffet, Vincent Leone, Cassius Medaur"
136109,Amayo no Tsuki,The Moon on a Rainy Night,84,"Drama, Romance, Slice of Life",2021,RELEASING,,,"Kuzushiro, Angélique Mariet, KOSUKEN"
101563,Modao Zushi,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi,84,"Action, Adventure, Comedy, Drama, Mystery, Supernatural",2017,FINISHED,259.0,13.0,"Mo Xiang Tong Xiu, Luo Di Cheng Qiu, Karis Page, Meowmeow"
