manga_id,title_romaji,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes
114328,Hidamari ga Kikoeru: Limit,I Hear the Sunspot: Limit,ひだまりが聴こえる－リミット,MANGA,5527,82,2016-10-22,2019-12-28,FINISHED,19.0,3.0
114329,Hidamari ga Kikoeru: Koufukuron,I Hear the Sunspot: Theory of Happiness,ひだまりが聴こえる－幸福論－,MANGA,5785,80,2015-04-27,2016-02-22,FINISHED,7.0,1.0
114388,Ousama Ranking,Ranking of Kings,王様ランキング,MANGA,6243,77,2017-05-20,,RELEASING,0.0,0.0
114416,Kimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",君のことが大大大大大好きな100人の彼女,MANGA,35010,77,2019-12-26,,RELEASING,0.0,0.0
114427,Zai Du Yu Ni,Once More,再度与你,MANGA,3159,78,2019-08-16,2023-08-27,FINISHED,170.0,3.0
114531,Cool Doji Danshi,"Play it Cool, Guys",クールドジ男子,MANGA,5637,78,2019-06-22,,RELEASING,0.0,0.0
114542,Haruman Nega Doego Sipeo,Your Throne,하루만 네가 되고 싶어,MANGA,20122,78,2020-01-06,,RELEASING,0.0,0.0
114671,Shrink: Seishinkai Yowai,Not Recorded,Shrink〜精神科医ヨワイ〜,MANGA,2389,77,2019-06-05,,RELEASING,0.0,0.0
114768,BJ Alex: BJ. MD,BJ Alex: BJ. MD,BJ알렉스외전: BJ. MD,MANGA,7057,78,2020-04-17,2020-06-05,FINISHED,8.0,0.0
114898,Koisuru (Otome) no Tsukurikata,I Think I Turned My Childhood Friend Into a Girl,恋する（おとめ）の作り方,MANGA,8781,77,2019-12-31,,RELEASING,0.0,0.0
114913,Toorigakari ni One Point Advice Shiteiku Type no Yankee,A Delinquent's Life Hacks,通りがかりにワンポイントアドバイスしていくタイプのヤンキー,MANGA,6957,77,2018-06-09,2022-07-22,FINISHED,110.0,8.0
114920,Tensei Oujo to Tensai Reijou no Mahou Kakumei,The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,転生王女と天才令嬢の魔法革命,NOVEL,2811,79,2020-01-18,,RELEASING,0.0,0.0
114972,Boys Run The Riot,Boys Run The Riot,ボーイズ・ラン・ザ・ライオット,MANGA,11985,78,2020-01-27,2020-10-14,FINISHED,38.0,4.0
114998,Bungou Stray Dogs BEAST,Bungo Stray Dogs Beast,文豪ストレイドッグス　ＢＥＡＳＴ,MANGA,8368,85,2019-12-26,2022-01-26,FINISHED,22.0,4.0
115000,White Blood,Unholy Blood,화이트 블러드,MANGA,23036,79,2020-01-15,2021-09-22,FINISHED,93.0,8.0
115166,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,Classroom of the Elite: Year 2,ようこそ実力至上主義の教室へ　２年生編,NOVEL,14829,86,2020-01-24,2024-11-25,FINISHED,130.0,15.0
115326,Old-Fashioned Cupcake,Old-Fashioned Cupcake,オールドファッションカップケーキ,MANGA,3208,79,2019-01-31,2019-09-30,FINISHED,7.0,1.0
115348,Bokura no Chikyuu no Arukikata,Our Not-So-Lonely Planet Travel Guide,僕らの地球の歩き方,MANGA,1946,77,2019-12-30,2025-09-02,FINISHED,59.0,7.0
115947,Rebuild World,Rebuild World,リビルドワールド,NOVEL,1220,77,2019-05-17,,RELEASING,0.0,0.0
116170,Veil,Veil,Veil,MANGA,16337,87,2018-05-14,,RELEASING,0.0,0.0
116219,Shinai naru Gene e,Not Recorded,親愛なるジーンへ,MANGA,1447,83,2019-08-31,2022-06-30,FINISHED,11.0,2.0
116353,Mo Huang Da Guanjia,The Devil Butler,魔皇大管家,MANGA,23624,81,2019-04-05,,RELEASING,0.0,0.0
116382,Agnyeoneun Molaesigyeleul Doedollinda,The Villainess Turns the Hourglass,악녀는 모래시계를 되돌린다,MANGA,19745,78,2020-03-01,2022-11-04,FINISHED,125.0,0.0
116401,"Kekkon Suru tte, Hontou desu ka: 365 Days To The Wedding",365 Days to the Wedding,結婚するって、本当ですか 365 Days To The Wedding,MANGA,13970,77,2020-03-16,2023-06-12,FINISHED,110.0,11.0
